Match_ID,Season,Date,Venue,City,Team1,Team2,Winner,Result,Win_By_Runs,Win_By_Wickets,Toss_Winner,Toss_Decision,Player_of_Match,Umpire1,Umpire2,Match_Type,Overs
1082591,2017,2017/04/05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,,35,,Royal Challengers Bangalore,field,Yuvraj Singh,AY Dandekar,NJ Llong,,
1082592,2017,2017/04/06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,,,7,Rising Pune Supergiant,field,SPD Smith,A Nand Kishore,S Ravi,,
1082593,2017,2017/04/07,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,,,10,Kolkata Knight Riders,field,CA Lynn,Nitin Menon,CK Nandan,,
1082594,2017,2017/04/08,Holkar Cricket Stadium,Indore,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,,,6,Kings XI Punjab,field,GJ Maxwell,AK Chaudhary,C Shamshuddin,,
1082595,2017,2017/04/08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,,15,,Royal Challengers Bangalore,bat,KM Jadhav,S Ravi,VK Sharma,,
1082597,2017,2017/04/09,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,,,4,Mumbai Indians,field,N Rana,Nitin Menon,CK Nandan,,
1082599,2017,2017/04/11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,,97,,Rising Pune Supergiant,field,SV Samson,AY Dandekar,S Ravi,,
1082598,2017,2017/04/10,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,,,8,Royal Challengers Bangalore,bat,AR Patel,AK Chaudhary,C Shamshuddin,,
1082600,2017,2017/04/12,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,,,4,Mumbai Indians,field,JJ Bumrah,Nitin Menon,CK Nandan,,
1082601,2017,2017/04/13,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,,,8,Kolkata Knight Riders,field,SP Narine,A Deshmukh,NJ Llong,,
1082603,2017,2017/04/14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,,,7,Gujarat Lions,field,AJ Tye,A Nand Kishore,S Ravi,,
