Batter,Bowler,Balls_Faced,Runs_Scored,Dismissals,Fours,Sixes,Dot_Balls,Strike_Rate,Dot_Percentage,Boundary_Percentage
A Ashish Reddy,A Nehra,9,7,1,1,0,4,77.78,44.44,11.11
A Ashish Reddy,AB Dinda,7,9,0,1,0,1,128.57,14.29,14.29
A Ashish Reddy,AD Mathews,12,25,0,1,2,2,208.33,16.67,25.0
A Ashish Reddy,AD Russell,3,4,1,0,0,0,133.33,0.0,0.0
A Ashish Reddy,Anureet Singh,2,2,0,0,0,0,100.0,0.0,0.0
A Ashish Reddy,Azhar Mahmood,3,2,0,0,0,1,66.67,33.33,0.0
A Ashish Reddy,B Kumar,1,1,0,0,0,0,100.0,0.0,0.0
A Ashish Reddy,BW Hilfenhaus,2,2,1,0,0,1,100.0,50.0,0.0
A Ashish Reddy,CH Morris,5,11,0,0,1,1,220.0,20.0,20.0
A Ashish Reddy,DJ Bravo,13,24,1,3,1,4,184.62,30.77,30.77
A Ashish Reddy,Harbhajan Singh,8,11,0,0,1,3,137.5,37.5,12.5
A Ashish Reddy,Imran Tahir,2,2,0,0,0,0,100.0,0.0,0.0
A Ashish Reddy,J Botha,2,0,0,0,0,2,0.0,100.0,0.0
A Ashish Reddy,JEC Franklin,3,3,0,0,0,1,100.0,33.33,0.0
A Ashish Reddy,JP Duminy,1,1,0,0,0,0,100.0,0.0,0.0
A Ashish Reddy,JP Faulkner,2,2,0,0,0,1,100.0,50.0,0.0
A Ashish Reddy,KA Pollard,3,3,1,0,0,1,100.0,33.33,0.0
A Ashish Reddy,KK Cooper,5,8,0,1,0,1,160.0,20.0,20.0
A Ashish Reddy,M Kartik,8,6,0,0,0,3,75.0,37.5,0.0
A Ashish Reddy,M Morkel,5,5,1,0,0,1,100.0,20.0,0.0
A Ashish Reddy,MG Johnson,3,7,0,1,0,0,233.33,0.0,33.33
A Ashish Reddy,MM Patel,2,0,1,0,0,2,0.0,100.0,0.0
A Ashish Reddy,MM Sharma,2,7,0,0,1,0,350.0,0.0,50.0
A Ashish Reddy,MR Marsh,3,3,0,0,0,0,100.0,0.0,0.0
A Ashish Reddy,MS Gony,4,5,0,1,0,2,125.0,50.0,25.0
A Ashish Reddy,NM Coulter-Nile,1,0,1,0,0,1,0.0,100.0,0.0
A Ashish Reddy,P Awana,2,0,1,0,0,1,0.0,50.0,0.0
A Ashish Reddy,P Kumar,4,6,0,1,0,1,150.0,25.0,25.0
A Ashish Reddy,PP Chawla,2,2,0,0,0,0,100.0,0.0,0.0
A Ashish Reddy,PV Tambe,4,3,0,0,0,1,75.0,25.0,0.0
A Ashish Reddy,Parvez Rasool,9,18,0,2,1,2,200.0,22.22,33.33
A Ashish Reddy,R Vinay Kumar,11,14,2,0,1,2,127.27,18.18,9.09
A Ashish Reddy,RJ Peterson,5,7,0,0,1,3,140.0,60.0,20.0
