Player_Name,Matches_Played,Runs,Fours,Sixes,Singles,Doubles,Triples,Balls_Faced,Dot_Balls,Highest_Score,Innings_Batted,Dismissals,50s,100s,Ducks,Not_Outs,Average,Strike_Rate,Boundaries,Boundary_Percentage,Balls_Bowled,Runs_Conceded,Wickets,Dot_Balls_Bowled,Fours_Conceded,Sixes_Conceded,Maidens,Overs_Bowled,Economy,Bowling_Average,Bowling_Strike_Rate,Caught,Run_Out,Stumping,Player_of_the_Match_Count,Batting_Position,Batting_Impact_Score,Bowling_Impact_Score,Overall_Impact_Score
A Symonds,36,974,74,41,288,66,4,750,262,117,36,27,5,1,0,9,36.07,129.87,115,55.65,527,674,20,190,44,33,0,87.83,7.67,33.7,26.35,0,0,0,3,1,1525.93,703.26,2229.2
A Flintoff,3,62,5,2,23,2,1,53,17,24,3,2,0,0,0,1,31.0,116.98,7,51.61,66,105,2,20,7,7,0,11.0,9.55,52.5,33.0,0,0,0,0,1,151.49,0.0,151.49
R Dhawan,37,210,18,7,61,16,1,187,81,25,22,11,0,0,1,11,19.09,112.3,25,54.29,662,891,25,205,71,27,1,110.33,8.08,35.64,26.48,0,0,0,0,7,371.15,829.24,1200.39
Harmeet Singh (2),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,24,34,1,12,3,2,0,4.0,8.5,34.0,24.0,0,0,0,0,11,0.0,0.0,0.0
SS Iyer,136,3938,329,166,1252,174,7,2908,945,97,135,113,30,0,7,22,34.85,135.42,495,58.71,6,7,0,4,0,1,0,1.0,7.0,0.0,0.0,0,0,0,10,7,5974.71,0.0,5974.71
JE Root,2,10,1,0,6,0,0,15,8,10,1,1,0,0,0,0,10.0,66.67,1,40.0,12,14,0,1,1,0,0,2.0,7.0,0.0,0.0,0,0,0,0,5,48.33,0.0,48.33
S Chanderpaul,3,25,4,0,9,0,0,31,18,16,3,3,0,0,0,0,8.33,80.65,4,64.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,6,77.82,0.0,77.82
AJ Finch,90,2092,214,78,546,105,4,1635,628,88,90,84,15,0,7,6,24.9,127.95,292,63.29,43,67,1,13,4,4,0,7.17,9.35,67.0,43.0,0,0,0,5,1,3201.98,0.0,3201.98
KS Rathore,1,0,0,0,0,0,0,5,5,0,1,1,0,0,1,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0
W O'Rourke,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,62,132,6,15,16,6,0,10.33,12.77,22.0,10.33,0,0,0,0,11,0.0,22.26,22.26
CJ Anderson,30,538,40,31,139,25,1,423,180,95,29,22,3,0,2,7,24.45,127.19,71,64.31,297,518,11,79,52,23,0,49.5,10.46,47.09,27.0,0,0,0,3,3,870.59,273.35,1143.95
IC Porel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,24,39,1,7,6,1,0,4.0,9.75,39.0,24.0,0,0,0,0,11,0.0,0.0,0.0
