Team,Matches,Wins,Losses,Win_Percentage,Average_First_Innings,Average_Chase,Average_Total,Highest_Total,Lowest_Total,Average_Run_Rate,Average_Wickets_Lost,Powerplay_Runs,Middle_Overs_Runs,Death_Overs_Runs,Powerplay_Run_Rate,Death_Run_Rate,Boundary_Percentage,Dot_Ball_Percentage,Bat_First_Win_Percentage,Chasing_Win_Percentage
Gujarat Titans,64,39,25,60.94,184.52,172.54,177.97,233,89,9.13,5.39,50.69,78.47,48.81,8.45,10.83,58.12,29.3,55.17,65.71
Delhi Daredevils,161,67,91,41.61,156.21,146.49,149.98,231,11,8.03,5.91,45.71,66.24,38.96,7.62,9.64,55.28,35.11,34.72,47.19
Royal Challengers Bangalore,240,114,120,47.5,166.76,146.83,155.11,263,2,8.31,5.77,45.5,67.75,43.81,7.6,10.4,57.1,34.78,43.8,51.26
Kings XI Punjab,190,85,101,44.74,161.96,153.84,154.17,232,2,8.23,6.09,47.13,69.66,41.45,7.83,9.49,56.46,34.73,40.21,49.46
Lucknow Super Giants,63,32,30,50.79,182.19,165.78,175.16,257,82,8.96,6.3,49.44,77.86,47.86,8.24,10.46,59.48,32.99,55.56,44.44
Kolkata Knight Riders,269,135,128,50.19,164.48,148.76,154.14,272,3,8.37,5.94,48.08,68.27,40.09,8.04,9.99,58.39,35.44,42.64,57.14
Mumbai Indians,282,152,126,53.9,168.54,157.17,160.33,247,5,8.47,5.96,47.7,70.02,45.45,7.93,10.42,59.04,35.24,52.41,55.47
Pune Warriors,46,12,33,26.09,148.65,135.4,141.29,192,99,7.23,6.62,42.11,60.67,38.51,7.02,8.41,51.53,38.56,30.0,24.0
Chennai Super Kings,257,144,111,56.03,170.51,156.34,163.49,246,9,8.44,5.35,46.99,70.21,46.93,7.83,10.39,56.76,33.63,52.14,61.21
Rajasthan Royals,240,118,116,49.17,164.5,155.64,157.24,242,6,8.36,5.98,48.2,70.51,41.16,8.03,9.7,57.8,35.12,43.12,54.62
Delhi Capitals,110,53,51,48.18,172.85,160.47,160.24,257,3,8.62,6.28,51.94,70.91,43.27,8.62,9.95,59.08,33.27,46.81,50.0
Rising Pune Supergiant,16,10,6,62.5,163.0,145.75,154.38,187,78,8.04,5.62,49.06,62.75,42.56,8.18,9.71,53.52,32.42,62.5,62.5
Punjab Kings,79,38,38,48.1,174.02,174.58,174.28,262,98,9.15,6.29,53.76,75.28,45.24,8.96,10.83,62.63,33.67,38.1,61.11
Kochi Tuskers Kerala,14,6,8,42.86,144.14,127.43,135.79,184,74,7.55,6.14,48.57,59.36,27.86,8.1,7.91,52.5,37.61,28.57,57.14
Sunrisers Hyderabad,201,95,101,47.26,171.8,152.56,159.84,287,2,8.45,5.88,50.04,70.25,42.74,8.33,9.65,55.6,32.91,45.79,49.46
Royal Challengers Bengaluru,35,22,13,62.86,195.05,181.67,189.31,262,95,10.14,5.86,59.34,82.09,47.89,9.89,12.37,65.08,29.3,55.0,73.33
Rising Pune Supergiants,14,5,9,35.71,160.43,134.29,147.36,195,76,8.14,4.79,45.57,63.93,37.86,7.6,10.23,52.93,32.97,0.0,71.43
Deccan Chargers,75,29,46,38.67,157.33,146.81,152.84,214,82,7.86,6.44,45.56,65.51,41.77,7.59,9.25,54.33,35.72,41.86,34.38
Gujarat Lions,30,13,16,43.33,161.93,161.81,156.84,208,6,8.48,6.27,51.97,71.47,38.63,8.61,9.28,56.97,32.39,7.14,75.0
