Venue,City,Matches,Average_First_Innings,Average_Second_Innings,Highest_Total,Lowest_Total,Average_Wickets,Average_Boundaries,Average_Sixes,Average_Dot_Balls,Bat_First_Wins,Chasing_Wins,Bat_First_Win_Percentage,Chasing_Win_Percentage,Powerplay_Average,Middle_Overs_Average,Death_Overs_Average,Average_Run_Rate,Average_Wickets_Per_Match,Spin_Economy,Pace_Economy
Arun Jaitley Stadium,Delhi,14,168.29,155.0,219,115,12.21,26.29,14.14,81.36,0,0,0.0,0.0,51.29,67.36,43.61,8.36,12.21,0.0,0.0
"Arun Jaitley Stadium, Delhi",Delhi,25,199.2,183.04,278,127,11.96,33.8,18.68,75.32,0,0,0.0,0.0,59.5,80.4,51.7,9.71,11.96,0.0,0.0
Barabati Stadium,Cuttack,7,167.71,157.71,231,126,11.29,30.71,9.71,79.71,0,0,0.0,0.0,43.57,69.64,49.5,8.23,11.29,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",Guwahati,8,168.88,157.62,201,127,12.5,29.12,13.75,72.25,0,0,0.0,0.0,58.75,68.12,36.38,9.04,12.5,0.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,24,173.46,165.04,235,121,11.88,28.17,13.04,77.62,0,0,0.0,0.0,51.17,72.04,42.6,8.71,11.88,0.0,0.0
Brabourne Stadium,Mumbai,10,180.4,167.7,212,151,11.9,32.7,10.5,77.4,0,0,0.0,0.0,51.35,71.2,51.5,8.8,11.9,0.0,0.0
"Brabourne Stadium, Mumbai",Mumbai,17,177.41,165.18,217,68,12.41,32.24,13.41,81.65,0,0,0.0,0.0,53.15,73.82,44.32,8.98,12.41,0.0,0.0
Buffalo Park,East London,3,147.33,119.0,178,116,12.67,18.67,9.0,89.0,0,0,0.0,0.0,39.5,54.5,39.17,6.99,12.67,0.0,0.0
De Beers Diamond Oval,Kimberley,3,158.0,141.0,168,140,13.0,20.67,11.33,88.0,0,0,0.0,0.0,40.0,63.0,46.5,7.59,13.0,0.0,0.0
Dr DY Patil Sports Academy,Mumbai,17,146.65,136.29,187,82,12.71,22.94,10.18,93.71,0,0,0.0,0.0,42.32,62.5,36.65,7.49,12.71,0.0,0.0
"Dr DY Patil Sports Academy, Mumbai",Mumbai,20,170.7,157.95,216,128,12.65,26.1,14.25,88.25,0,0,0.0,0.0,45.92,72.92,45.48,8.38,12.65,0.0,0.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,13,157.46,130.69,206,121,12.54,22.38,11.85,88.15,0,0,0.0,0.0,40.96,62.04,41.08,7.6,12.54,0.0,0.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,4,208.75,178.5,272,163,14.5,30.75,22.5,76.0,0,0,0.0,0.0,58.12,93.0,42.5,10.14,14.5,0.0,0.0
Dubai International Cricket Stadium,0,46,163.76,149.09,219,110,11.83,25.85,10.76,83.78,0,0,0.0,0.0,45.89,66.75,44.42,7.99,11.83,0.0,0.0
Eden Gardens,Kolkata,77,160.18,147.06,232,81,11.4,28.25,11.18,84.08,0,0,0.0,0.0,46.27,67.48,39.88,8.12,11.4,0.0,0.0
"Eden Gardens, Kolkata",Kolkata,26,190.69,175.32,261,25,11.62,31.65,18.42,74.04,0,0,0.0,0.0,57.67,74.79,47.17,9.84,11.62,0.0,0.0
Feroz Shah Kotla,Delhi,60,161.63,147.85,231,56,11.62,27.67,10.6,79.27,0,0,0.0,0.0,46.7,67.62,39.19,8.17,11.62,0.0,0.0
Green Park,Kanpur,4,161.25,163.25,195,124,12.25,37.75,9.0,78.0,0,0,0.0,0.0,55.0,71.75,35.5,8.73,12.25,0.0,0.0
Himachal Pradesh Cricket Association Stadium,Dharamsala,9,175.67,146.22,232,120,11.56,33.22,12.0,96.44,0,0,0.0,0.0,40.56,74.06,46.33,8.28,11.56,0.0,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,6,194.33,181.2,241,122,11.33,30.5,18.33,69.67,0,0,0.0,0.0,52.0,72.67,48.0,9.97,11.33,0.0,0.0
Holkar Cricket Stadium,Indore,9,160.33,158.78,245,88,10.22,24.67,17.22,71.44,0,0,0.0,0.0,51.72,70.39,37.44,9.1,10.22,0.0,0.0
