match_id,innings,over,ball,batting_team,bowling_team,batsman,bowler,runs_off_bat,extras,total_runs,is_wicket,dismissal_kind,player_dismissed,Current_Score
1,1,0,1,Mumbai Titans,Delhi Strikers,R. Sharma,K. Rabada,0,0,0,0,,,
1,1,0,2,Mumbai Titans,Delhi Strikers,R. Sharma,K. Rabada,2,0,2,0,,,
1,1,0,3,Mumbai Titans,Delhi Strikers,R. Sharma,R. Ashwin,0,0,0,0,,,
1,1,0,4,Mumbai Titans,Delhi Strikers,R. Sharma,P. Dubey,0,0,0,0,,,
1,1,0,5,Mumbai Titans,Delhi Strikers,R. Sharma,P. Dubey,1,0,1,0,,,
1,1,0,6,Mumbai Titans,Delhi Strikers,R. Sharma,K. Rabada,3,0,3,0,,,
1,1,1,1,Mumbai Titans,Delhi Strikers,R. Sharma,I. Sharma,0,0,0,0,,,
1,1,1,2,Mumbai Titans,Delhi Strikers,R. Sharma,K. Rabada,1,0,1,0,,,
1,1,1,3,Mumbai Titans,Delhi Strikers,R. Sharma,I. Sharma,4,0,4,0,,,
1,1,1,4,Mumbai Titans,Delhi Strikers,R. Sharma,R. Ashwin,0,0,0,0,,,
1,1,1,5,Mumbai Titans,Delhi Strikers,R. Sharma,I. Sharma,0,0,0,1,caught,R. Sharma,
1,1,1,6,Mumbai Titans,Delhi Strikers,V. Kohli,I. Sharma,6,0,6,0,,,
1,1,2,1,Mumbai Titans,Delhi Strikers,V. Kohli,R. Ashwin,0,0,0,0,,,
1,1,2,2,Mumbai Titans,Delhi Strikers,V. Kohli,I. Sharma,1,0,1,0,,,
1,1,2,3,Mumbai Titans,Delhi Strikers,V. Kohli,K. Rabada,1,0,1,0,,,
1,1,2,4,Mumbai Titans,Delhi Strikers,V. Kohli,A. Nortje,1,0,1,0,,,
1,1,2,5,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,0,0,0,0,,,
1,1,2,6,Mumbai Titans,Delhi Strikers,V. Kohli,K. Rabada,0,1,1,0,,,
1,1,3,1,Mumbai Titans,Delhi Strikers,V. Kohli,A. Nortje,4,0,4,0,,,
1,1,3,2,Mumbai Titans,Delhi Strikers,V. Kohli,A. Nortje,2,0,2,0,,,
1,1,3,3,Mumbai Titans,Delhi Strikers,V. Kohli,R. Ashwin,0,0,0,0,,,
1,1,3,4,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,0,0,0,0,,,
1,1,3,5,Mumbai Titans,Delhi Strikers,V. Kohli,R. Ashwin,1,0,1,0,,,
1,1,3,6,Mumbai Titans,Delhi Strikers,V. Kohli,R. Ashwin,0,1,1,0,,,
1,1,4,1,Mumbai Titans,Delhi Strikers,V. Kohli,R. Ashwin,1,0,1,0,,,
1,1,4,2,Mumbai Titans,Delhi Strikers,V. Kohli,R. Ashwin,1,0,1,0,,,
1,1,4,3,Mumbai Titans,Delhi Strikers,V. Kohli,K. Rabada,2,0,2,0,,,
1,1,4,4,Mumbai Titans,Delhi Strikers,V. Kohli,I. Sharma,4,0,4,0,,,
1,1,4,5,Mumbai Titans,Delhi Strikers,V. Kohli,A. Nortje,1,0,1,0,,,
1,1,4,6,Mumbai Titans,Delhi Strikers,V. Kohli,I. Sharma,6,0,6,0,,,
1,1,5,1,Mumbai Titans,Delhi Strikers,V. Kohli,K. Rabada,4,0,4,0,,,
1,1,5,2,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,0,0,0,0,,,
1,1,5,3,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,4,0,4,0,,,
1,1,5,4,Mumbai Titans,Delhi Strikers,V. Kohli,K. Rabada,4,0,4,0,,,
1,1,5,5,Mumbai Titans,Delhi Strikers,V. Kohli,I. Sharma,0,0,0,0,,,
1,1,5,6,Mumbai Titans,Delhi Strikers,V. Kohli,K. Rabada,0,0,0,0,,,
1,1,6,1,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,2,0,2,0,,,
1,1,6,2,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,0,0,0,0,,,
1,1,6,3,Mumbai Titans,Delhi Strikers,V. Kohli,A. Nortje,4,0,4,0,,,
1,1,6,4,Mumbai Titans,Delhi Strikers,V. Kohli,I. Sharma,0,0,0,0,,,
1,1,6,5,Mumbai Titans,Delhi Strikers,V. Kohli,P. Dubey,0,0,0,1,bowled,V. Kohli,
