Feature,Importance
Runs_Last_6_Balls,0.630602451419009
Current_Over,0.057925425009079254
Bowler_Dot_Ball_Percentage,0.01989207894997143
Current_Run_Rate,0.0195127683983678
Runs_Last_30_Balls,0.018183292309798
Current_Ball,0.017608075225998682
Batting_Impact_Score,0.015545607433451868
Bowler_Economy,0.013470774801777505
Batter_Career_Average,0.013011782794867154
Bowler_Strike_Rate,0.01287059906068204
Bowler_Name,0.012425538123157217
Venue_Run_Rate,0.012374690825023528
Batter_Career_Strike_Rate,0.012274724663295811
Current_Partnership_Runs,0.012229022883521625
Venue,0.010807775584513802
Batter_Boundary_Percentage,0.010729459585508727
Runs_Last_12_Balls,0.009958555598631614
Current_Partnership_Run_Rate,0.00981010332334551
Wickets_Last_12_Balls,0.008842638559586136
Bowling_Impact_Score,0.00881202415848961
Pressure_Index,0.008019238098969334
Current_Wickets,0.007972693607310332
Runs_Last_18_Balls,0.007320331398517285
Batter_Name,0.006499038919531779
Season,0.006364449635020363
Bowling_Team,0.005558063893735502
Team_Win_Percentage,0.004912275713591002
Dot_Balls_Last_6_Balls,0.004600989320948256
Batting_Team,0.004588138834404401
Boundaries_Last_6_Balls,0.004257402190781451
Dot_Balls_Last_12_Balls,0.002963538603291928
Death_Overs_Flag,0.0026413886722863214
Pressure_Overs_Flag,0.002096889148012077
Wickets_Last_6_Balls,0.0019971918297354615
Innings,0.0018790186834192243
Boundaries_Last_12_Balls,0.0012348506822974223
Middle_Overs_Flag,0.00020711206007187696
Powerplay_Flag,0.0
