Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
1,AD Russell,134,27.95,174.1,78.57,4069.55,83.63
2,CH Gayle,141,39.66,149.34,75.77,7570.17,83.53
3,AB de Villiers,170,39.85,151.89,61.26,7847.45,81.95
4,JC Buttler,123,39.79,149.67,66.84,6520.33,81.6
5,DA Warner,184,40.04,139.66,61.95,9920.33,79.83
6,KL Rahul,140,44.92,136.59,58.77,8087.29,79.77
7,SA Yadav,157,34.24,148.67,65.34,6699.84,79.57
8,V Sehwag,104,27.56,155.44,72.29,4169.72,78.3
9,RR Pant,128,33.98,146.68,64.36,5578.34,78.3
10,MS Dhoni,242,38.3,137.45,56.7,8227.23,77.92
11,N Pooran,92,31.55,165.13,70.92,3585.07,77.83
12,V Kohli,265,39.91,133.48,56.14,13415.24,77.63
13,Shubman Gill,118,39.91,139.05,57.11,6116.02,77.49
14,KA Pollard,181,28.4,147.57,64.82,5229.29,77.31
15,GJ Maxwell,140,23.9,155.12,68.01,4307.56,76.96
16,YBK Jaiswal,71,35.07,153.19,73.36,3601.6,76.58
17,HH Pandya,153,28.11,147.33,62.84,4332.16,76.3
18,SR Watson,145,30.79,137.93,68.25,5888.97,76.28
19,YK Pathan,162,29.29,143.52,62.63,4904.76,76.1
20,DA Miller,138,35.86,138.85,55.89,4803.42,76.04
21,SV Samson,177,31.14,140.09,60.58,7403.54,75.99
22,F du Plessis,147,35.1,135.79,58.75,7227.39,75.81
23,SK Raina,200,32.37,136.83,58.67,8372.41,75.79
24,SS Iyer,136,34.85,135.42,58.71,5974.71,75.41
25,Ishan Kishan,117,29.73,140.22,65.9,4886.61,75.29
26,S Dhawan,221,35.07,127.09,58.95,10217.05,74.89
27,RG Sharma,271,29.81,132.56,62.32,10843.78,74.56
28,Q de Kock,116,31.41,135.23,63.61,5203.61,74.47
29,RD Gaikwad,75,38.28,136.44,59.26,3915.72,73.76
30,N Rana,117,27.1,136.03,66.41,4377.52,73.46
31,SE Marsh,69,39.51,133.03,62.03,3800.02,73.14
32,KD Karthik,234,26.32,135.28,58.43,7332.14,73.0
33,RV Uthappa,197,27.52,130.33,60.88,7496.17,72.87
34,BB McCullum,109,27.71,131.6,67.73,4388.8,72.83
35,Abhishek Sharma,82,27.01,165.67,72.8,3000.34,72.67
36,H Klaasen,50,40.57,165.6,60.21,2638.8,72.19
37,B Sai Sudharsan,44,47.65,146.05,59.39,2932.03,72.19
38,AM Rahane,188,30.67,125.61,55.63,7838.81,72.03
39,SP Narine,192,17.63,166.61,81.72,2807.3,71.7
40,AT Rayudu,187,28.05,127.54,56.9,6585.77,71.6
41,RA Jadeja,251,28.27,130.01,50.66,5069.0,71.23
42,G Gambhir,152,31.01,123.88,55.06,6387.44,71.1
43,Yuvraj Singh,129,24.81,129.78,64.12,4195.89,71.08
44,MA Agarwal,125,23.03,133.79,61.51,4212.89,70.63
45,DR Smith,91,28.39,135.2,70.52,3645.1,70.58
46,WP Saha,145,24.25,127.57,58.15,4464.78,69.61
47,MK Pandey,162,29.27,121.64,52.04,5987.32,69.55
48,PD Salt,39,33.19,174.96,76.99,1879.98,69.13
49,SPD Smith,93,34.65,128.28,50.66,3806.64,68.94
